ID;Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
ta3nbnM4;8165;Coordinates;Chhuk, Cambodia;10.84029,104.39911;;"10.84029
104.39911";Plantation in Chhuk district of Kampot province.  Exact location derived from triangulation of satellite imagery and company photos. This site matches both the stated deal size as well as the farm structures show on the company photos.
umMayNfW;8175;Coordinates;Баштанський район, Миколаївська область, Україна;47.50751,32.21065;;One of the land plots of the company;"Cadastral number- 4820685300:04:000:0391; size- 113.9283 ha; Owner - State."
l2Xk93c8;8175;Approximate location;Добра Криниця, Миколаївська область, Україна;47.24044,32.31761;;;
gemIBpxM;8175;Approximate location;Привільне, Миколаївська область, Україна;47.49168,32.29462;;;
I4Ia0Lhn;8175;Approximate location;Тернові Поди, Миколаївська область, Україна;46.85868,32.38522;;;
Rfnk0Q3l;8176;Coordinates;Antang Kalang, East Kotawaringin Regency, Central Kalimantan, Indonesia;-1.714,112.6656;;PT KMB which is located in Antang Kalang Sub-District, East Kotawaringin District - Central Kalimantan Province;
xA483dRD;8183;Coordinates;Олійникова-Слобода, Київська обл., Україна;49.86281,30.30494;;One of the land plots, belonging to the Company;"Cadastral number - 3220484400:01:004:0023; Owner - State."
YZXJE1QB;8197;Exact location;Шкарівка, Київська обл., Україна, 09170;49.71763,30.17574;;One of the land plots of the Company in Kyiv Region;"Cadastral number -3220489500:01:018:0016 ; size-  1.8454 ha; Ownership - private."
ytflHfCn;8197;Approximate location;Шкарівка, Київська область, Україна;49.73948,30.16451;;;All of leased lad plots are located near this village
8aUSRbMI;8198;Coordinates;;-6.8409,140.5526;;;
aly7Q5yn;8205;Administrative region;Waingmaw, Myanmar (Burma);25.36673,97.69823;;Tissue-Culture Banana Plantation;"Aung Myay One and Aung Myay Two Villages

Source: myanmarwaterportal.com"
laLvS8bw;8210;Coordinates;;-2.42746,111.21429;;; 
dElOKCOI;8210;Approximate location;Nibung Terjun, Kabupaten Sukamara, Kalimantan Tengah, Indonesia;-2.28256,111.11884;Oil Palm Plantation;These deals or concessions are located in 3 villages in Sukamara Regency;
fPBliCDT;8213;Coordinates;Cempaga Hulu, East Kotawaringin Regency, Central Kalimantan, Indonesia;-2.066835,113.052753;;;
glhSkAp_;8214;Coordinates;East Kotawaringin, Central Kalimantan, Indonesia;-1.807371,112.815874;;;
1ogeD_9D;8219;Coordinates;Merauke;-7.3875,140.7444;;; 
W0ry7AvK;8224;Coordinates;;-2.7392,132.9979;;;
mw-5szOg;8233;Coordinates;;1.7844,100.6862;;;Rimba Melintang District, Rokan Hilir (Rohil) Regency,
QfS30BRg;8245;Coordinates;Diass, Sénégal;14.64175,-17.02392;VAN-OERS;Diass is a village in Senegal, about 40 km southeast of Dakar, where Blaise Diagne International Airport is located. Diass is 6 km west of Van Oers Farm.;"The area polygon was created using Google Earth and exceeds the actual land area; this should be taken into account when interpreting the data."
EMK4PZ0n;8255;Coordinates;Provincia de Alajuela, San Isidro, Costa Rica;10.10041,-84.194907;;;
uHZZsgb3;8277;Exact location;Конопниця, Львівська область, Україна;49.81821,23.8294;One of the land plots of the Company;https://map.land.gov.ua/?cc=2652614.855047496,6414822.399543986&z=16&l=kadastr&bl=ortho10k_all;Cadastral number - 4620987700:01:000:0064
iRpBKk4w;8277;Exact location;Глухівець, Львівська область, Україна, 81611;49.56177,24.02321;One of the land plots of the Company;https://map.land.gov.ua/?cc=2674155.0902555394,6370848.623515399&z=16&l=&bl=ortho10k_all;Cadastral number - 4623081200:11:000:0078
p4Z9vsXh;8277;Exact location;Якимів, Львівська область, Україна, 80441;49.96957,24.32162;One of the land plots of the Company;https://map.land.gov.ua/?cc=2707719.220341952,6440967.382048079&z=16&l=kadastr&bl=ortho10k_all&cadnum=4622182000:08:000:0468;Cadastral number - 4622182000:08:000:0468
CylzvAY5;8277;Approximate location;Малий Любінь, Львівська область, Україна;49.70803,23.75975;;;
IgGgPgh0;8277;Approximate location;Лівчиці, Львівська область, Україна;49.3124,24.12509;;;
z0vcZDYg;8279;Approximate location;Бабанка, Черкаська область, Україна, 20351;48.7101,30.45026;;;
bbPXJl2Y;8279;Exact location;Монастирище, Черкаська область, Україна;48.99654,29.79993;Land plot;;7123480300:03:001:0290
NlTX7ZCD;8279;Exact location;Велика Севастянівка, Черкаська область, Україна, 20045;48.88307,29.77165;;;
YotXFlaD;8279;Exact location;Бачкурине, Черкаська область, Україна, 19153;48.95334,29.86932;farm;;https://map.land.gov.ua/?cc=3324594.9084206,6265403.04001934&z=16&l=kadastr&bl=ortho10k_all&cadnum=7123481000:02:001:0823
NTMbxh2M;8288;Coordinates;Boven Digoel Regency, Papua, Indonesia;-6.6313,140.2945;;; 
pEpMSL3c;8330;Administrative region;3443 Мирчево, Болгарія;43.51585,23.33965;;;
tsPDB0nB;8330;Administrative region;3534 Драганиця, Болгарія;43.24118,23.24694;;;
-so5aXZR;8330;Administrative region;3140 Кунино, Болгарія;43.18792,23.997;;;
5Lt0vwlh;8344;Exact location;Ларжанка, Одеська область, Україна, 68662;45.36793,28.71303;One of the land plots;https://map.land.gov.ua/?cc=3196328.9934620233,5679637.14389067&z=15&l=kadastr&bl=ortho10k_all&cadnum=5122083200:01:002:0026;Cadastral number - 5122083200:01:002:0281, size - 33.4493 ha, Owner - State.
CkNxLv43;8344;Exact location;Криничне, Одеська область, Україна, 68742;45.5889,28.70867;One of the land plots;https://map.land.gov.ua/?cc=3195552.858993496,5714753.128417039&z=15&l=&bl=ortho10k_all&cadnum=5121483600:01:002:0209;
mhE7nLr3;8344;Exact location;Роща, Одеська область, Україна, 68420;46.10415,29.3286;https://map.land.gov.ua/?cc=3264873.91048318,5796969.57336596&z=16&l=kadastr&bl=ortho10k_all&cadnum=5120480500:01:002:0033;One of the land plots;Cadastral number - 5120480500:01:002:0033. Size - 9.0983. Owner - Private.
XR9DmKSe;8344;Administrative region;Тарутине, Одеська область, Україна;46.18918,29.14649;;;
UbYLtBI1;8344;Administrative region;Ізмаїл, Одеська область, Україна;45.35019,28.85019;;;
ob83tVL5;8344;Administrative region;Арциз, Одеська область, Україна;45.97884,29.42355;;;
gTBxqA3K;8344;Administrative region;Сарата, Одеська область, Україна;46.01993,29.67343;;;
T9XOmpzw;8344;Administrative region;Болград, Одеська область, Україна;45.68384,28.61431;;;
aKKaMX8N;8346;Exact location;Сергіївка, Чернігівська область, Україна, 17592;50.43328,32.09691;One of the land plots;https://map.land.gov.ua/?cc=3569909.1269890903,6521650.883217656&z=16&l=kadastr&bl=ortho10k_all;Cadastral number - 7424188200:06:000:0097
aHzMvXEj;8346;Approximate location;Короп, Чернігівська область, Україна;51.56496,32.95496;;;
DsL8eAUH;8385;Exact location;Лебединське, Дніпропетровська область, Україна, 53245;47.88026,34.44695;One of the land plots;https://map.land.gov.ua/?cc=3834881.129843478,6087076.768415982&z=15&l=&bl=ortho10k_all&cadnum=1222982800:03:042:0723;Size- 7.84 ha, Owner - private
6aKli-ES;8385;Exact location;Змагання, Дніпропетровська область, Україна, 53246;47.85103,34.35286;One of the land plots;https://map.land.gov.ua/?cc=3824712.7338858517,6081870.975164683&z=16&l=&bl=ortho10k_all&cadnum=1222982800:05:012:0345;Size- 7.98 ha, Owner - private
-0Cx8x3-;8385;Exact location;Томаківське, Дніпропетровська область, Україна, 53245;47.88227,34.36443;One of the land plots;https://map.land.gov.ua/?cc=3825434.3039888823,6087442.725079277&z=14&l=kadastr&bl=ortho10k_all&cadnum=1222982800:05:017:0413;Size- 8.1 ha, Owner - private
HjqkGb_L;8388;Exact location;Іванівка, Житомирська область, Україна, 11573;50.79804,28.6412;One of the land plots;https://map.land.gov.ua/?cc=3188073.795252818,6585867.38545785&z=13&l=kadastr&bl=dzk_overview&cadnum=1822384600:14:000:0276;Size - 3.7551 ha, Owner - Private.
ZbiOVwne;8388;Approximate location;Холосне, Житомирська область, Україна;50.85993,28.62352;;;
VkKCmeP5;8388;Approximate location;Горщик, Житомирська область, Україна;50.89529,28.29825;;;At least part of the contracted area in that village is leased in State 
uO7VTiiY;8388;Coordinates;;50.84315,28.68007;;https://kadastr.live/parcel/1822386400:12:000:0101;"Size - 15.2712 ha,
Ownership -Communal,
Cadastral namber - 1822386400:12:000:0101"
uhv5Xp3S;8388;Coordinates;;50.82613,28.67837;;https://kadastr.live/parcel/1822386400:13:000:0043;"Size - 10.3048 ha,
Ownership - Communal,
Cadastral namber - 1822386400:13:000:0043"
v1Rwlljs;8388;Coordinates;;50.83594,28.68127;;https://kadastr.live/parcel/1822386400:10:000:0090;"Size - 15.6645 ha,
Ownership - Communal,
Cadastral namber - 	1822386400:10:000:0090"
0dyQRuBh;8393;Approximate location;Грачевський район, Ставропольський край, Росія;45.1064,42.36682;;;
drY2bnmx;8393;Approximate location;Ізобільний, Ставропольський край, Росія;45.37006,41.71068;;;
pWqdGji2;8393;Approximate location;Красногвардейское, Ставропольский край, Росія;45.85309,41.50748;;;
KXyWzHK2;8393;Approximate location;Іпатовський район, Ставропольський край, Росія;45.76691,42.52404;;;
hLTNKH4G;8393;Approximate location;Новоалександровск, Ставропольский край, Росія;45.48993,41.21529;;;
TVZ_fN8X;8393;Approximate location;Предгірний район, Ставропольський край, Росія;44.04813,42.77348;;;
MmDOoCJ4;8393;Approximate location;Труновський район, Ставропольський край, Росія;45.63814,41.94073;;;
6SizqVCS;8393;Approximate location;Туркменський район, Ставропольський край, Росія;45.51005,43.5853;;;
h_G5o1lp;8394;Exact location;Kilolo, Tanzania;-8.00553,35.84296;Clinton Development Farm;;
CqB4iq0r;8397;Approximate location;Ліпецька область, Росія;52.52647,39.20323;;;
bYDGckng;8397;Approximate location;Лебедянский р-н, Липецкая обл., Росія;53.01015,39.15844;;;
tBGrSYOv;8401;Approximate location;Боковський район, Ростовська область, Росія;49.23796,41.70636;;;
Afq0Dwxm;8437;Administrative region;Tchirozerine, Niger;17.26466,7.83136;;;"100ha pilot area.

Located in Tchirozerine, Niger."
TOklVq16;8437;Administrative region;Ingal, Niger;16.78673,6.93433;;;"20ha pilot area.
Situated in Ingal, Niger"
r3qm58oi;8455;Administrative region;Apedwa, Ghana;6.12596,-0.49271;;Along the lake Volta (Eastern region);Apedwa, in the Eastern Region of Ghana
lREWSMej;8548;Approximate location;Cahaya Baru, Jejangkit, Barito Kuala Regency, South Kalimantan, Indonesia;-3.18516,114.70835;;;
851-DZGI;8560;Coordinates;;-3.0274,114.9416;;Central Tapin, Tapin Regency, South Kalimantan;
pPulZkww;8586;Administrative region;Louga, Senegal;15.61418,-16.22868;SEPAM;;
jDKr-L5Z;8592;Administrative region;Matam, Senegal;15.66002,-13.25769;Casier de boynadji;;
nrcn-fN0;8669;Coordinates;Mont Rolland, Sénégal;14.88824,-17.00507;Quality Fruit Sénégal;The rural community of Mont Rolland is located in the western part of Senegal.;
nFZnOUYs;8679;Coordinates;Shonga, Nigeria;8.98097,5.22612;;all farms surround the village of Shonga which is a 90 minute drive from the main town of Ilorin.;Based in Kwara State Nigeria, 
rJMYv4P-;8687;Approximate location;Старая Синява, Хмельницкая область, Украина;49.5966,27.62517;;;
QZVvtplo;8687;Approximate location;Красилов, Хмельницкая область, Украина;49.6492,26.97572;;;
h-0-tGfr;8687;Approximate location;Сахновцы, Хмельницкая область, Украина;49.76631,27.32917;;;
GfL5cd8E;8687;Approximate location;Илятка, Хмельницкая область, Украина, 31445;49.55891,27.68567;;;
_dDlMHjp;8687;Approximate location;Ярославка, Хмельницкая область, Украина, 31512;49.48546,27.30799;;;
mHxrq7z4;8687;Approximate location;Западинцы, Хмельницкая область, Украина, 31072;49.60339,27.05952;;;
jwc-Kl8M;8687;Approximate location;Чапля, Хмельницкая область, Украина, 31520;49.47003,27.58233;;;
2FinWDcv;8687;Approximate location;Новая Синявка, Хмельницкая область, Украина, 31433;49.55022,27.74042;;;
vBIbS3MZ;8687;Approximate location;Терешевцы, Хмельницкая область, Украина, 31326;49.48449,27.22552;;;
vrBW_ReX;8687;Approximate location;Михайловцы, Хмельницкая область, Украина, 31073;49.65059,27.09031;;;
